2025-04-11 16:43:40,643 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_49, process: A, location: B
2025-04-11 16:43:40,647 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_5, process: A, location: B
2025-04-11 16:43:40,650 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_50, process: A, location: B
2025-04-11 16:43:40,653 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_51, process: A, location: B
2025-04-11 16:43:40,656 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_52, process: A, location: B
2025-04-11 16:43:40,659 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_53, process: A, location: B
2025-04-11 16:43:40,663 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_54, process: A, location: B
2025-04-11 16:43:40,669 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_55, process: A, location: B
2025-04-11 16:43:40,673 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_56, process: A, location: B
2025-04-11 16:43:40,678 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_57, process: A, location: B
2025-04-11 16:43:40,682 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_58, process: A, location: B
2025-04-11 16:43:40,689 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_59, process: A, location: B
2025-04-11 16:43:40,692 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_6, process: A, location: B
2025-04-11 16:43:40,696 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_60, process: A, location: B
2025-04-11 16:43:40,699 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_61, process: A, location: B
2025-04-11 16:43:40,702 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_62, process: A, location: B
2025-04-11 16:43:40,713 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_63, process: A, location: B
2025-04-11 16:43:40,717 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_64, process: A, location: B
2025-04-11 16:43:40,722 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_65, process: A, location: B
2025-04-11 16:43:40,729 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_66, process: A, location: B
2025-04-11 16:43:40,733 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_67, process: A, location: B
2025-04-11 16:43:40,738 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_68, process: A, location: B
2025-04-11 16:43:40,742 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_69, process: A, location: B
2025-04-11 16:43:40,748 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_7, process: A, location: B
2025-04-11 16:43:40,753 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_70, process: A, location: B
2025-04-11 16:43:40,757 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_71, process: A, location: B
2025-04-11 16:43:40,761 - INFO - [fetch_influxdb_data] Successfully fetched data for topic: iot_sensors/device_alive/got1_mc_72, process: A, location: B
