2025-04-11 13:53:49,124 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_47, process: A, location: B
2025-04-11 13:53:49,127 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_48, process: A, location: B
2025-04-11 13:53:49,130 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_49, process: A, location: B
2025-04-11 13:53:49,134 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_50, process: A, location: B
2025-04-11 13:53:49,138 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_51, process: A, location: B
2025-04-11 13:53:49,142 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_52, process: A, location: B
2025-04-11 13:53:49,146 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_53, process: A, location: B
2025-04-11 13:53:49,149 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_54, process: A, location: B
2025-04-11 13:53:49,153 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_55, process: A, location: B
2025-04-11 13:53:49,157 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_56, process: A, location: B
2025-04-11 13:53:49,161 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_57, process: A, location: B
2025-04-11 13:53:49,165 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_58, process: A, location: B
2025-04-11 13:53:49,169 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_59, process: A, location: B
2025-04-11 13:53:49,173 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_60, process: A, location: B
2025-04-11 13:53:49,177 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_61, process: A, location: B
2025-04-11 13:53:49,180 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_62, process: A, location: B
2025-04-11 13:53:49,184 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_63, process: A, location: B
2025-04-11 13:53:49,189 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_64, process: A, location: B
2025-04-11 13:53:49,193 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_65, process: A, location: B
2025-04-11 13:53:49,196 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_66, process: A, location: B
2025-04-11 13:53:49,200 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_67, process: A, location: B
2025-04-11 13:53:49,204 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_68, process: A, location: B
2025-04-11 13:53:49,208 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_69, process: A, location: B
2025-04-11 13:53:49,212 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_70, process: A, location: B
2025-04-11 13:53:49,216 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_71, process: A, location: B
2025-04-11 13:53:49,220 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_72, process: A, location: B
2025-04-11 13:53:49,223 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_73, process: A, location: B
2025-04-11 13:53:49,227 - DEBUG - [fetch_influxdb_data] No data found for topic: iot_sensors/iot_got1/mc_74, process: A, location: B
